userid,day_of_registeration,day_of_first_deposit,deposit_date,adkey,Rake,
21406897,"August 1, 2020","August 1, 2020",01-08-2020,Mobile_HPheaderJulySet4_button,15 ,
22839100,"August 27, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet4_button,15 ,
22216850,"August 15, 2020","August 19, 2020",19-08-2020,Mobile_HPheaderJulySet4_button,14 ,
22708010,"August 24, 2020","August 24, 2020",24-08-2020,Mobile_HPheaderJulySet4_button,14 ,
22754521,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,14 ,
22820401,"August 26, 2020","August 28, 2020",28-08-2020,Mobile_HPheaderJulySet4_button,14 ,
21761665,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,13 ,
22001041,"August 11, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,13 ,
22245335,"August 16, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,13 ,
22707112,"August 24, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,13 ,
22997597,"August 30, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderJulySet4_button,13 ,
21843646,"August 9, 2020","August 17, 2020",17-08-2020,Mobile_HPheaderJulySet4_button,12 ,
22114176,"August 13, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,12 ,
22452177,"August 19, 2020","August 19, 2020",19-08-2020,Mobile_HPheaderJulySet4_button,11 ,
21595390,"August 4, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,10 ,
21753984,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,10 ,
21979901,"August 11, 2020","August 19, 2020",19-08-2020,Mobile_HPheaderJulySet4_button,10 ,
22024952,"August 12, 2020","August 12, 2020",12-08-2020,Mobile_HPheaderJulySet4_button,10 ,
22910926,"August 28, 2020","August 28, 2020",28-08-2020,Mobile_HPheaderJulySet4_button,10 ,
21699210,"August 6, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet4_button,9 ,
21820594,"August 8, 2020","August 8, 2020",08-08-2020,Mobile_HPheaderJulySet4_button,9 ,
23077389,"September 1, 2020","September 1, 2020",01-09-2020,Mobile_HPheaderJulySet4_button,9 ,
21211590,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet4_button,8 ,
21510082,"August 3, 2020","August 4, 2020",04-08-2020,Mobile_HPheaderJulySet4_button,8 ,
21604985,"August 4, 2020","August 5, 2020",05-08-2020,Mobile_HPheaderJulySet4_button,8 ,
22076927,"August 12, 2020","August 14, 2020",14-08-2020,Mobile_HPheaderJulySet4_button,8 ,
22233692,"August 15, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet4_button,8 ,
22717978,"August 24, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet4_button,8 ,
21479432,"August 2, 2020","August 2, 2020",02-08-2020,Mobile_HPheaderJulySet4_button,7 ,
21906054,"August 10, 2020","August 11, 2020",11-08-2020,Mobile_HPheaderJulySet4_button,7 ,
22125813,"August 13, 2020","August 13, 2020",13-08-2020,Mobile_HPheaderJulySet4_button,7 ,
22370901,"August 18, 2020","August 22, 2020",22-08-2020,Mobile_HPheaderJulySet4_button,7 ,
21791551,"August 8, 2020","August 31, 2020",31-08-2020,Mobile_HPheaderJulySet4_button,6 ,
21143925,"July 28, 2020","July 28, 2020",28-07-2020,Mobile_HPheaderJulySet4_button,5 ,
21951958,"August 10, 2020","August 10, 2020",10-08-2020,Mobile_HPheaderJulySet4_button,5 ,
22078690,"August 13, 2020","August 13, 2020",13-08-2020,Mobile_HPheaderJulySet4_button,5 ,
22213636,"August 15, 2020","August 16, 2020",16-08-2020,Mobile_HPheaderJulySet4_button,5 ,
22486458,"August 20, 2020","September 1, 2020",01-09-2020,Mobile_HPheaderJulySet4_button,5 ,
21334066,"July 31, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet4_button,4 ,
21459188,"August 2, 2020","August 2, 2020",02-08-2020,Mobile_HPheaderJulySet4_button,4 ,
21483762,"August 2, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet4_button,4 ,
21566394,"August 4, 2020","August 4, 2020",04-08-2020,Mobile_HPheaderJulySet4_button,4 ,
21966613,"August 11, 2020","August 11, 2020",11-08-2020,Mobile_HPheaderJulySet4_button,4 ,
22037975,"August 12, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet4_button,4 ,
